sequence_id,institute_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184214,Universidad Peruana Cayetano Heredia,PTAN-0013,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184207,Universidad Peruana Cayetano Heredia,PTAN-0006,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Peru
ERR2184242,Universidad Peruana Cayetano Heredia,PTAN-0041,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184262,Universidad Peruana Cayetano Heredia,PTAN-0061,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184205,Universidad Peruana Cayetano Heredia,PTAN-0004,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_2.fastq.gz",S,S,S,S,S,NA,S,S,S,S,S,S,S,Peru
ERR2184211,Universidad Peruana Cayetano Heredia,PTAN-0010,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184238,Universidad Peruana Cayetano Heredia,PTAN-0037,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184299,Universidad Peruana Cayetano Heredia,PTAN-0098,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184256,Universidad Peruana Cayetano Heredia,PTAN-0055,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184244,Universidad Peruana Cayetano Heredia,PTAN-0043,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_2.fastq.gz",S,S,S,S,S,S,R,NA,S,S,S,S,S,Peru
ERR2184259,Universidad Peruana Cayetano Heredia,PTAN-0058,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184259/ERR2184259_2.fastq.gz",S,S,S,S,S,S,S,S,R,S,R,S,S,Peru
ERR2184206,Universidad Peruana Cayetano Heredia,PTAN-0005,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184206/ERR2184206_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184202,Universidad Peruana Cayetano Heredia,PTAN-0001,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184202/ERR2184202_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
