sequence_id,country_id,institute_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184214,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184214/ERR2184214_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0013
ERR2184207,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184207/ERR2184207_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,PTAN-0006
ERR2184242,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184242/ERR2184242_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0041
ERR2184262,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184262/ERR2184262_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0061
ERR2184205,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184205/ERR2184205_2.fastq.gz",S,S,S,S,S,NA,S,S,S,S,S,S,S,PTAN-0004
ERR2184211,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184211/ERR2184211_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0010
ERR2184238,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184238/ERR2184238_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0037
ERR2184299,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184299/ERR2184299_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0098
ERR2184256,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184256/ERR2184256_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,PTAN-0055
ERR2184244,Peru,Universidad Peruana Cayetano Heredia,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184244/ERR2184244_2.fastq.gz",S,S,S,S,S,S,R,NA,S,S,S,S,S,PTAN-0043
